"Date","Year","X_coord","Y_coord","Year_f","week","month"
1990-02-02,1990,328365.183,4847883.626,"1990",1990-01-28,1990-02-01
1990-02-02,1990,323727.547,4850395.59,"1990",1990-01-28,1990-02-01
1990-02-02,1990,323364.31,4841258.355,"1990",1990-01-28,1990-02-01
1990-02-02,1990,300126.956,4834324.547,"1990",1990-01-28,1990-02-01
1990-02-03,1990,324948.926,4845003.692,"1990",1990-01-28,1990-02-01
1990-02-03,1990,306189.423,4843509.657,"1990",1990-01-28,1990-02-01
1990-02-03,1990,308283.349,4845159.999,"1990",1990-01-28,1990-02-01
1990-02-04,1990,313369.699,4845281.697,"1990",1990-02-04,1990-02-01
1990-02-04,1990,325055.267,4844928.101,"1990",1990-02-04,1990-02-01
1990-02-04,1990,302653.932,4847088.834,"1990",1990-02-04,1990-02-01
1990-02-04,1990,322984.674,4842745.196,"1990",1990-02-04,1990-02-01
1990-02-04,1990,301412.099,4834168.364,"1990",1990-02-04,1990-02-01
1990-02-04,1990,300171.139,4833693.089,"1990",1990-02-04,1990-02-01
1990-02-04,1990,324609.309,4842925.537,"1990",1990-02-04,1990-02-01
1990-02-04,1990,300172.242,4839715.726,"1990",1990-02-04,1990-02-01
1990-02-04,1990,325179.425,4842315.08,"1990",1990-02-04,1990-02-01
1990-02-05,1990,304208.406,4844395.567,"1990",1990-02-04,1990-02-01
1990-02-05,1990,318361.954,4850073,"1990",1990-02-04,1990-02-01
1990-02-05,1990,300269.195,4839549.38,"1990",1990-02-04,1990-02-01
1990-02-05,1990,313832.27,4842198.244,"1990",1990-02-04,1990-02-01
1990-02-05,1990,303276.925,4828586.859,"1990",1990-02-04,1990-02-01
1990-02-05,1990,299047.921,4837258.361,"1990",1990-02-04,1990-02-01
1990-02-05,1990,328661.957,4844025.035,"1990",1990-02-04,1990-02-01
1990-02-05,1990,327027.495,4845943.662,"1990",1990-02-04,1990-02-01
1990-02-05,1990,303539.284,4835437.124,"1990",1990-02-04,1990-02-01
1990-02-05,1990,308505.618,4847186.673,"1990",1990-02-04,1990-02-01
1990-02-06,1990,300430.848,4828755.835,"1990",1990-02-04,1990-02-01
1990-02-06,1990,299917.461,4834338.825,"1990",1990-02-04,1990-02-01
1990-02-06,1990,307345.2,4840786.649,"1990",1990-02-04,1990-02-01
1990-02-06,1990,301645.948,4833881.452,"1990",1990-02-04,1990-02-01
1990-02-06,1990,303676.057,4833496.377,"1990",1990-02-04,1990-02-01
1990-02-06,1990,300097.631,4842595.14,"1990",1990-02-04,1990-02-01
1990-02-06,1990,308415.819,4846420.606,"1990",1990-02-04,1990-02-01
1990-02-06,1990,300578.406,4842496.146,"1990",1990-02-04,1990-02-01
1990-02-06,1990,302727.729,4836115.494,"1990",1990-02-04,1990-02-01
1990-02-06,1990,304609.549,4831495.835,"1990",1990-02-04,1990-02-01
1990-02-06,1990,314124.895,4837108.681,"1990",1990-02-04,1990-02-01
1990-02-06,1990,303250.602,4828672.748,"1990",1990-02-04,1990-02-01
1990-02-07,1990,309430.743,4844229.494,"1990",1990-02-04,1990-02-01
1990-02-07,1990,319969.8,4843874.84,"1990",1990-02-04,1990-02-01
1990-02-07,1990,305642.726,4832991.07,"1990",1990-02-04,1990-02-01
1990-02-07,1990,319891.992,4845708.706,"1990",1990-02-04,1990-02-01
1990-02-07,1990,303969.237,4842743.984,"1990",1990-02-04,1990-02-01
1990-02-07,1990,303086.924,4840757.631,"1990",1990-02-04,1990-02-01
1990-02-08,1990,324973.875,4844410.877,"1990",1990-02-04,1990-02-01
1990-02-08,1990,314290.914,4848375.239,"1990",1990-02-04,1990-02-01
1990-02-08,1990,309134.223,4845211.556,"1990",1990-02-04,1990-02-01
1990-02-09,1990,301153.658,4837133.321,"1990",1990-02-04,1990-02-01
1990-02-09,1990,303734.181,4832723.551,"1990",1990-02-04,1990-02-01
1990-02-09,1990,305365.495,4837902.922,"1990",1990-02-04,1990-02-01
1990-02-09,1990,313420.824,4849493.531,"1990",1990-02-04,1990-02-01
